Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2006-10-02,75.1,75.87,74.3,74.86,25451400.0,0.0,1.0,9.65139671756,9.75035244955,9.54858556744,9.62055337252,178159800.0
2006-10-03,74.45,74.95,73.19,74.07,28239600.0,0.0,1.0,9.56786265808,9.63211962691,9.40593509664,9.51902736178,197677200.0
2006-10-04,74.1,75.462,73.16,75.38,29610100.0,0.0,1.0,9.52288277991,9.69791876299,9.40207967851,9.6873806201,207270700.0
2006-10-05,74.53,76.16,74.13,74.83,24424400.0,0.0,1.0,9.5781437731,9.78762149147,9.52673819804,9.61669795439,170970800.0
2006-10-06,74.42,75.04,73.81,74.22,16677100.0,0.0,1.0,9.56400723995,9.6436858813,9.48561373799,9.53830445242,116739700.0
2006-10-09,73.8,75.08,73.53,74.63,15650800.0,0.0,1.0,9.48432859861,9.6488264388,9.44962983545,9.59099516686,109555600.0
2006-10-10,74.54,74.58,73.08,73.81,18985300.0,0.0,1.0,9.57942891247,9.58456946998,9.3917985635,9.48561373799,132897100.0
2006-10-11,73.42,73.98,72.6,73.23,20423400.0,0.0,1.0,9.4354933023,9.50746110739,9.33011187343,9.41107565415,142963800.0
2006-10-12,73.61,75.39,73.6,75.26,21173400.0,0.0,1.0,9.45991095046,9.68866575948,9.45862581108,9.67195894758,148213800.0
2006-10-13,75.63,76.88,74.74,75.02,24435600.0,0.0,1.0,9.71950910451,9.88015152657,9.6051317,9.64111560254,171049200.0
2006-10-16,75.19,75.88,74.789,75.4,18167600.0,0.0,1.0,9.66296297195,9.75163758892,9.61142888295,9.68995089885,127173200.0
2006-10-17,75.04,75.27,74.04,74.29,17175900.0,0.0,1.0,9.6436858813,9.67324408696,9.51517194365,9.54730042806,120231300.0
2006-10-18,74.75,78.59,73.91,74.53,40496700.0,0.0,1.0,9.60641683938,10.09991036,9.49846513175,9.5781437731,283476900.0
2006-10-19,79.26,79.95,78.16,78.99,54034900.0,0.0,1.0,10.1860146982,10.2746893152,10.0446493668,10.151315935,378244300.0
2006-10-20,78.97,79.99,78.67,79.95,22836200.0,0.0,1.0,10.1487456563,10.2798298727,10.110191475,10.2746893152,159853400.0
2006-10-23,79.99,81.9,79.75,81.46,29732400.0,0.0,1.0,10.2798298727,10.5252914936,10.2489865276,10.468745361,208126800.0
2006-10-24,81.21,81.68,80.2,81.05,16543300.0,0.0,1.0,10.4366168766,10.4970184273,10.3068177996,10.4160546466,115803100.0
2006-10-25,81.35,82.0,81.01,81.68,17329100.0,0.0,1.0,10.4546088279,10.5381428873,10.4109140891,10.4970184273,121303700.0
2006-10-26,81.9,82.6,81.13,82.19,15455600.0,0.0,1.0,10.5252914936,10.6152512499,10.4263357616,10.5625605355,108189200.0
